RELIVING,WERETAUGHTTOMEIBORET,NICMO IHMYX EWHMV HFVPB 
SKELETON,OTHOUMYLOVELYBOYWHOI,GDLZY FMYGF IWCUC LORST 
HAPPENED,INTHEOLDAGEBLACKWASN,PNIWI BPGHG TQPNG NDAHC 
MEDIEVAL,HOWOFTWHENTHOUMYMUSI,TSZWJ OWSQR WPSPM JYYVQ 
EPITHETS,THEEXPENSEOFSPIRITIN,XWMXE TXFWT WYZTB JMIQG 
EMISSION,MYMISTRESSEYESARENOT,QKUAK BFRWE MQWAO EIZWL 
CONTEMPT,THOUARTASTYRANNOUSSO,VVBNE DITUH LKEZC HWGFH 
SEEDLING,THINEEYESILOVEANDTHE,LLMQP MLKKM PRGMN TVXLH 
KEEPSAKE,BESHREWTHATHEARTTHAT,LIWWJ EGXRE XWWAB XDLEI 
TACHYONS,SONOWIHAVECONFESSDTH,LOPVU WUSOE EVLTR KLDVO 
REQUITAL,WHOEVERHATHHERWISHTH,NLEYD XRSRX XBMKW TJLJB 
BIRTHDAY,IFTHYSOULCHEQUETHEET,JNKAF VOSMK YXXXE RIMVM 
LAZINESS,THOUBLINDFOOLLOVEWHA,EHNCO PAFOF NWYPG NPWGI 
PANTHERS,WHENMYLOVESWEARSTHAT,LHRGT CCGKE FPLEI KIHNM 
LOADABLE,OCALLNOTMETOJUSTIFYT,ZQAOL OZXXS TRJVD XTTYW 
RESOURCE,BEWISEASTHOUARTCRUEL,SIOWM VCWKL GIUIV GIYWZ 
FEVERISH,INFAITHIDONOTLOVETHE,NRAEZ BZPIS ISKTG CJXCI 
MACAQUES,LOVEISMYSINANDTHYDEA,XOXEY MQQEI PADXX ZKDGA 
QUENCHER,LOASACAREFULHOUSEWIF,BIEFC JEIUZ YYJVY JUQMS 
APIARIST,TWOLOVESIHAVEOFCOMFO,TLWLF DWLIW IVVWX VOBNO 
ACERBITY,THOSELIPSTHATLOVESOW,TJSJF TBNSV LRUTH TEUSN 
IDEALISE,POORSOULTHECENTREOFM,XRSRD WMPBK ICPVL VMRJM 
ENNOBLED,MYLOVEISASAFEVERLONG,QLYCW PMVEF NTFGI UPBAU 
DAMAGING,OMEWHATEYESHATHLOVEP,RMQWN IGKBE EHGBU RRVQP 
WHODUNIT,CANSTTHOUOCRUELSAYIL,YHBVN GPHQV QUORT LWFWO 
MUSCULAR,OFROMWHATPOWERHASTTH,AZJQG HHRFJ GYYCH RENLJ 
RECRUITS,LOVEISTOOYOUNGTOKNOW,CSXVC AMGFC QLHOM GBRQN 
EDIFYING,INLOVINGTHEETHOUKNOW,MQTTT QAMXK MJRPB AOQWB 
CONSIDER,CUPIDLAIDBYHISBRANDA,EICAL OEZFP LZQVF ICBQS 
CUTENESS,THELITTLELOVEGODLYIN,VBXPV XLDGF HZRKG VNSBR 
BISEXUAL,FROMFAIRESTCREATURES,GZGQC UICFA LGOYA EVZWW 
ENVISION,WHENFORTYWINTERSSHAL,AUZVX WFGCJ DVLMF FWUVT 
GARRISON,LOOKINTHYGLASSANDTEL,ROFBQ FHUEG CRAKO AJTVC 
POOLSIDE,UNTHRIFTYLOVELINESSW,JBHSJ QIXNZ CGWTL RTGGH 
DEFACING,THOSEHOURSTHATWITHGE,WLTSG PBAUW YHCBJ OWLLE 
EVENINGS,THENLETNOTWINTERSRAG,XCIAT RZFSO AVVGK JWMET 
CHOOSING,LOINTHEORIENTWHENTHE,NVWBL PRUTP SBLEU KPAVS 
SOMEWHAT,MUSICTOHEARWHYHEARST,EIEMY AOAWO DADFH XSFEX 
SNUFFBOX,ISITFORFEARTOWETAWID,AFCYK PFCWN LYTXS QSJCI 
CADENCES,FORSHAMEDENYTHATTHOU,HOUWU CQWFE QCGJE LVHRY 
MADHOUSE,ASFASTASTHOUSHALTWAN,MSIHG NSWFH RBGBS PFWDU 
RESELLER,WHENIDOCOUNTTHECLOCK,NLWRT OSTFY FXESI TCSUO 
FULLNESS,OTHATYOUWEREYOURSELF,TNSLG CGMBY CPLSM JXYWQ 
DEMURRED,NOTFROMTHESTARSDOIMY,QSFZI FQWKI ENRIW GRMYS 
CAPSIZED,WHENICONSIDEREVERYTH,YHTFQ BSQUI SWZDZ HTYIZ 
NEGLIGEE,BUTWHEREFOREDONOTYOU,OYZHP KVISS XPLUR SGCUF 
TUSSLING,WHOWILLBELIEVEMYVERS,PBGOT TYHXF AWGMZ EOYJK 
OUTLINED,SHALLICOMPARETHEETOA,GBTWT VGRAJ TCMGL HSNHL 
PURBLIND,DEVOURINGTIMEBLUNTTH,SYMPF ZVQVN ZNPJY XCNKI 
GREASING,AWOMANSFACEWITHNATUR,GNSMS VFLGT IWABU TGKYR 
MUNCHING,SOISITNOTWITHMEASWIT,EIVUP BAUFQ VVOUR GEQVV 
FLOUNCES,MYGLASSSHALLNOTPERSU,RJUFN UWKML ZFAQX HJCGO 
STORMERS,ASANUNPERFECTACTORON,SLOEG RGWJY STFET LGKCE 
DISPOSAL,MINEEYEHATHPLAYDTHEP,PQFTS QESDB ZEZSY OWPWE 
TRAMWAYS,LETTHOSEWHOAREINFAVO,EVTFD OQWPY OMNEG FYRVA 
FRONTIER,LORDOFMYLOVETOWHOMIN,QFFQH NQPQF JRMWA YTDWA 
WRESTLER,WEARYWITHTOILIHASTEM,SVEJR HMKDK SAETL ROKIE 
MOBILITY,HOWCANITHENRETURNINH,TCXKL VBRTS OZPBN PZWOP 
NEWLYWED,WHENINDISGRACEWITHFO,JLAYG JHLFK NLAAA LGLBZ 
BEAUTIFY,WHENTOTHESESSIONSOFS,XLEHM WYFFW EMLQT LTSFM 
BEHAVING,THYBOSOMISENDEAREDWI,ULFBJ ABSJW LNYMN XFHDI 
PANTHEON,IFTHOUSURVIVEMYWELLC,XFGAV YGHGV VOLQM JTLYV 
TEASPOON,FULLMANYAGLORIOUSMOR,YYLDB OBLTK LGGWC HLQOJ 
UNVOICED,WHYDIDSTTHOUPROMISES,QUTRQ FWWNU JIXTS PCFZG 
PREAMBLE,NOMOREBEGRIEVEDATTHA,CFQOD FMIVI MEHFO EIKLA 
WHIPPING,LETMECONFESSTHATWETW,HLBBT KBTBL AHIPN ZSLBL 
DUSTCART,ASADECREPITFATHERTAK,DMSWG CIXSC LYCTY XUNSD 
SOMBRELY,HOWCANMYMUSEWANTSUBJ,ZCIDR RXWEI EFNEY RKINK 
PENKNIFE,OHOWTHYWORTHWITHMANN,DLBGG PDADV GRJQY LBEAX 
POLEMICS,TAKEALLMYLOVESMYLOVE,IOVIM TNENZ ZZQAO QACGI 
GESTURED,THOSEPETTYWRONGSTHAT,ZLGLY GIWZC OKIEK VZLSM 
CABLEWAY,THATTHOUHASTHERITISN,VHBEX DOSJA TELAR GVITY 
CASTANET,WHENMOSTIWINKTHENDOM,YHWGM BWMKW AGKGL XPDGF 
INCREASE,IFTHEDULLSUBSTANCEOF,QSVYI DMPTF WSWTS RKRQW 
PANORAMA,THEOTHERTWOSLIGHTAIR,IHRCK HQRIW BGCIS HIAVF 
SAMPLING,MINEEYEANDHEARTAREAT,EIZTP GRGFD TTLZG GJEMI 
PASTORAL,BETWIXTMINEEYEANDHEA,QELPW OTXXN WXMVA YSHWT 
EMPATHIC,HOWCAREFULWASIWHENIT,LALCT YMHYX LALPE JIZXT 
SABBATHS,AGAINSTTHATTIMEIFEVE,SGBJN LALZA UUIFL AXEWF 
RATIFIED,HOWHEAVYDOIJOURNEYON,YOPPJ IZBUO BRTCV QVYHV 
IMPLYING,THUSCANMYLOVEEXCUSET,BTJDA IASGX DGCMK ICETE 
EXPENSES,SOAMIASTHERICHWHOSEB,WLPQV SWLLB GMPZA ZSPTF 
INTERCUT,WHATISYOURSUBSTANCEW,EUTXZ USHCE LYSUN TVPXA 
STRETCHY,OHOWMUCHMOREDOTHBEAU,GAFAF WJFEH IIWQA FTXRY 
STALLION,NOTMARBLENORTHEGILDE,FHTXL ZPYWG OCEPS TAEDP 
LABOURED,SWEETLOVERENEWTHYFOR,DWFSN CSYPR FBYNX KJFPF 
SUNRISES,BEINGYOURSLAVEWHATSH,TYVEO QSMJM YRDWA ZSNFY 
FEARSOME,THATGODFORBIDTHATMAD,YLAKY CPJTV BZVHT EYQAU 
UNPAIRED,IFTHEREBENOTHINGNEWB,CSIHM IIEYA DTPZR JHRLB 
MAINSTAY,LIKEASTHEWAVESMAKETO,XISRS LTFQW IIWLM YWEBB 
POSITING,ISITTHYWILLTHYIMAGES,XGABM PLCXZ DBAGV SPUWA 
TACKIEST,SINOFSELFLOVEPOSSESS,LIPYN WWEYL QFMTG LLEUC 
WREAKING,AGAINSTMYLOVESHALLBE,WXEIX AGSUC SVOAU GHCFE 
BREEZIER,WHENIHAVESEENBYTIMES,XYIRH PEMFJ IIMJC KJDIW 
ROUTEING,SINCEBRASSNORSTONENO,JWHVI JEGJG HHVAG UESHH 
FONDNESS,TIREDWITHALLTHESEFOR,YWEHQ AALMO YOGLW KJTBU 
WORDLESS,AHWHEREFOREWITHINFEC,WVNKP VWXKF VZTXZ AJTVF 
INVERTER,THUSISHISCHEEKTHEMAP,BUPWZ LLZAP CIVDX YMZVT 
MUGGINGS,THOSEPARTSOFTHEETHAT,FBUYM CGJFM ULBUK WFBGZ 
TAPPINGS,THATTHOUARTBLAMEDSHA,MHPIB UUMTR IQTNS WWSWP 
DAINTILY,NOLONGERMOURNFORMEWH,QOTBG OPPPO CEGNZ PPEEU 
BLEATING,OLESTTHEWORLDSHOULDT,PWISM BUKXZ VLWAU UVWHT 
UNCALLED,THATTIMEOFYEARTHOUMA,NUCTE TQHIS AELCX KIHOA 
SEARCHER,BUTBECONTENTEDWHENTH,TYTSG JSELI NKGKA YWRTY 
LADYBIRD,SOAREYOUTOMYTHOUGHTS,DODPF GFXEO PWUPF XRHWQ 
MUSTIEST,WHYISMYVERSESOBARREN,IBQBA QQOQL KXAST TDLWG 
FACTIONS,THYGLASSWILLSHOWTHEE,YHAZT OFKBI NEAVB OYHGX 
HEROICAL,SOOFTHAVEIINVOKEDTHE,ZSFTB JAGLM ZBDQK PKXYS 
CASEWORK,WHILSTIALONEDIDCALLU,YHAPO HZKNO FIZWU MCLDY 
FLAGELLA,OHOWIFAINTWHENIOFYOU,TSOCM QLISE WNIYT OKJOA 
GIMMICKS,ORISHALLLIVEYOUREPIT,UZUEP CVDRQ HQGQE JKXUF 
PROBABLY,IGRANTTHOUWERTNOTMAR,XXFBN UEFDL KFRUY MIDOS 
NOTIFIES,INEVERSAWTHATYOUDIDP,VBXDJ ZWSJH AIYGS MQWWX 
MASSAGER,WHOISITTHATSAYSMOSTW,IHGAS OXKTA LKAEW DASLO 
JOTTINGS,MYTONGUETIEDMUSEINMA,VMMHV TAWCW XWUHY WRBFT 
EVERSION,WASITTHEPROUDFULLSAI,AVWZL BVRTM SLVNI YPNEZ 
EIGHTEEN,FAREWELLTHOUARTTOODE,JIXLP IPYXP UBTVX GSWJL 
SUNSHINE,WHENTHOUSHALTBEDISPO,OBRFA PBYKB NDAJR HAMCG 
GRABBERS,SAYTHATTHOUDIDSTFORS,YRYUI EKLNF UEJHJ LLFRT 
WALKOVER,THENHATEMEWHENTHOUWI,PHPXV VXVIE HRSIX YKUHS 
CONVEYED,SOMEGLORYINTHEIRBIRT,UCZZK JSUAW AOLCM UDWEO 
SCIATICA,BUTDOTHYWORSTTOSTEAL,TWBDH BJYOQ ZSMBQ SLGIL 
COPYCATS,SOSHALLILIVESUPPOSIN,UCHFC LEANW KCUUI HQGXL 
CAPYBARA,THEYTHATHAVEPOWERTOH,VHTWU HRTJA KCQON ETTDF 
VISUALLY,HOWSWEETANDLOVELYDOS,CWOMW PPRVV VFOGP JTLGM 
CREAKIER,SOMESAYTHYFAULTISYOU,UFQEC ICKJP JAETX ZUPSU 
ACROSTIC,HOWLIKEAWINTERHATHMY,HQNZA DMCWK EHWKP CTJDM 
DOGGEDLY,FROMYOUHAVEIBEENABSE,IFUSC RFFDJ KOFHP LDPYK 
COUNTESS,THEFORWARDVIOLETTHUS,VVYSH VOSTR PVHPW LVVOF 
NEBULOUS,WHEREARTTHOUMUSETHAT,JLFLP OLLGL POXIM WGLBN 
PRODIGAL,OTRUANTMUSEWHATSHALL,DKFXI TTXJJ SZPGT DWRZO 
SPOUTING,MYLOVEISSTRENGTHENDT,ENZIO MVYKI FYGOG NWCRN 
REFRAINS,ALACKWHATPOVERTYMYMU,RPFTK EUSKT TMEZG QDCRL 
ARROGANT,TOMEFAIRFRIENDYOUNEV,TFDSL AVKFI ZSTDL HUEVJ 
EXIGUOUS,LETNOTMYLOVEBECALLDI,PBBTI HGQPL DKVSW SPILO 
BAILIFFS,WHENINTHECHRONICLEOF,XHMYQ SYZFC PCWSN UMEWQ 
REGARDED,WHENINTHECHRONICLEOF,NLKNZ QXKVG NRFQM FCIUF 
AIRSHIPS,NOTMINEOWNFEARSNORTH,NWKEP VTGWV WWHZH FOZKZ 
TWOFACED,WHATSINTHEBRAINTHATI,PDOYS KRWAA PWAKR WAWHN 
OBLIGATE,ONEVERSAYTHATIWASFAL,COPDK RLEMU SIZIP EGGLT 
BUSTLING,ALASTISTRUEIHAVEGONE,BFSLE QFZSO WBSII KHIFX 
SOPHISTS,OFORMYSAKEDOYOUWITHF,GTDYU QLSCS SVGGN OAHWM 
PANGOLIN,YOURLOVEANDPITYDOTHT,NOHXZ ZDRPN QVWEG QDTUZ 
CULINARY,SINCEILEFTYOUMINEEYE,UCYKR ICCHN JWHMZ LGYJM 
ALIENING,ORWHETHERDOTHMYMINDB,OCELR BUKRO WXUUL SIYLF 
VEHEMENT,THOSELINESTHATIBEFOR,OLVWQ PVGZW ALMXV UZJVV 
STINGIER,LETMENOTTOTHEMARRIAG,DXBZK VSKLH BUKUE IJBIT 
WARLORDS,ACCUSEMETHUSTHATIHAV,WCTFG VPWPH LDHYD LEHRG 
DRUGGING,LIKEASTOMAKEOURAPPET,OZEKG AGUPR EKUCE GSGYZ 
RETIRING,WHATPOTIONSHAVEIDRUN,NLTBG WGOFR LPRDR OUVNV 
PENDANTS,THATYOUWEREONCEUNKIN,ILNWY BNOTV RRNPX MCOVQ 
OFFICIAL,TISBETTERTOBEVILETHA,HNXJG BTPFY TJGDI WSYMI 
COCKCROW,THYGIFTTHYTABLESAREW,VVAQK WHPJM VKDCS OCFGG 
AUSPICES,NOTIMETHOUSHALTNOTBO,NILXU GXZOO KWINX FONTD 
REVELLER,IFMYDEARLOVEWEREBUTT,ZJHCO PEICS QIHPV VSYOX 
HOOVERED,WERETAUGHTTOMEIBORET,DSFZX RYJOH HJQVM EVFSO 
DETRACTS,OTHOUMYLOVELYBOYWHOI,RXAFU ORDRZ XCYDH QZLHZ 
SNUGGLED,INTHEOLDAGEBLACKWASN,AANNK ZPGST YHRLG NONMT 
RUBIDIUM,HOWOFTWHENTHOUMYMUSI,YIXWI BQTVH UPRCG KDOTQ 
CRUMBING,THEEXPENSEOFSPIRITIN,VYYQY XRTUV IRTXV XKKCZ 
SUPPLANT,MYMISTRESSEYESARENOT,ESBXD TEXKM TNPSN KWHDI 
PAWNSHOP,THOUARTASTYRANNOUSSO,IHKHS YHPHT UESUB DJSOB 
SHUNTING,THINEEYESILOVEANDTHE,LOCAX MLKKP FBOMN TVABR 
DECAYING,BESHREWTHATHEARTTHAT,EIUHP MJZKE VHCIE ZWLCT 
CARNIVAL,SONOWIHAVECONFESSDTH,UOEBE DHLXE TBVAE DUDKU 
OVERPLAY,WHOEVERHATHHERWISHTH,KCSVK PRFOO LYTCW GGCXY 
PATCHILY,IFTHYSOULCHEQUETHEET,XFMJF AZSAC AGXCP RWEXV 
SONINLAW,THOUBLINDFOOLLOVEWHA,LVBCO WIJVT BWYWO RWKUI 
MONOMERS,WHENMYLOVESWEARSTHAT,IVRBY CCGHS FKQEI KFVNH 
UNTASTED,OCALLNOTMETOJUSTIFYT,IPTLD GSWGR MOBNW WCSRT 
DISJOINT,BEWISEASTHOUARTCRUEL,EMORG MNLWP GDOZG VUCWU 
WANDERED,INFAITHIDONOTLOVETHE,ENSDM KLLZO ARXCS YATUH 
ABROGATE,LOVEISMYSINANDTHYDEA,LPMSO SFCSJ EOTDM LYEVO 
UNUSABLY,LOASACAREFULHOUSEWIF,FBUKA DLPYS ODHPF QYJCX 
MAINLAND,TWOLOVESIHAVEOFCOMFO,FWWYZ VRVUH IIPOS FAMNB 
GREENEST,THOSELIPSTHATLOVESOW,ZYSWR PAIYK LEGPG OKJSA 
EURASIAN,POORSOULTHECENTREOFM,TIFRK WUYXB VCWVT EIIWM 
REVENGED,MYLOVEISASAFEVERLONG,DCGSI KMVRW VJRBI UCSIK 
TEACLOTH,OMEWHATEYESHATHLOVEP,HQEYS OMLRI SJLHA SHZER 
FONDLING,CANSTTHOUOCRUELSAYIL,HOAVE BUUZC PUFMY YFMVO 
MURDERER,OFROMWHATPOWERHASTTH,AZIRQ NLRFJ FZIIL RENKK 
CHAIRMAN,LOVEISTOOYOUNGTOKNOW,NVVMZ ETBQF OCEST BMUOE 
LAUNCHER,INLOVINGTHEETHOUKNOW,TNFBX PRXEH YRVOS LVNIJ 
WINDMILL,CUPIDLAIDBYHISBRANDA,YCCLP TLTZJ LKUAM CWVQD 
BLURRING,THELITTLELOVEGODLYIN,USYCZ BGRFW IMVOB JMJCE 
EXTENDER,FROMFAIRESTCREATURES,JOHQS DMIIP MGEHE KYOXW 
STARLIKE,WHENFORTYWINTERSSHAL,OAEEQ WBXQP IEEMB WKAAC 
LAVISHED,LOOKINTHYGLASSANDTEL,WOJSA UXKJG GIKZE QOTZT 
UPBRAIDS,UNTHRIFTYLOVELINESSW,OCUYR QILSA PMETL FYHTN 
INVADING,THOSEHOURSTHATWITHGE,BUJSH PBAZF OHDBJ OBUBE 
DEFECTED,THENLETNOTWINTERSRAG,WLJRN XXQRX BMPMI UVVFK 
DOCKSIDE,LOINTHEORIENTWHENTHE,OCKXL PHSUW GXLEK IQHJO 
CHURLISH,MUSICTOHEARWHYHEARST,OBMZN BGOGH LNSGZ LCYMK 
BUTTONED,ISITFORFEARTOWETAWID,JMBMT BVIFU KMCJI WBQBW 
LAUNCHES,FORSHAMEDENYTHATTHOU,QOLFJ HQWOE HLVOE LEHIH 
CENSORED,ASFASTASTHOUSHALTWAN,CWSSG KEVVL BMGYE OVANF 
RHEOSTAT,WHENIDOCOUNTTHECLOCK,NOIBA WOVFB RHLAE VCVGY 
EPICALLY,OTHATYOUWEREYOURSELF,SIPCT JZSAT ZGYZF PWTTH 
CONDENSE,NOTFROMTHESTARSDOIMY,PCGIV BEXJS FWEEK HQWZB 
ELEVENTH,WHENICONSIDEREVERYTH,ASIIM PHUWT HZVRO LVJXC 
WRECKERS,BUTWHEREFOREDONOTYOU,XLXYR IIWBF VGNSE GPPSW 
INFLICTS,WHOWILLBELIEVEMYVERS,EUTHQ NETMY NPDGF QDRWD 
REHEATED,SHALLICOMPARETHEETOA,JLHPL BGRDT HVEML HVXVE 
DETAINER,DEVOURINGTIMEBLUNTTH,GIOOC EMEJX BMMOP LQXMH 
THIMBLES,AWOMANSFACEWITHNATUR,TDWYB YWXTJ MIJEL FTACD 
DOUBTING,SOISITNOTWITHMEASWIT,VCCTB BAUWK CUAUR GVKCU 
DEXTROSE,MYGLASSSHALLNOTPERSU,PCDER GKWKE IEECL THVPN 
PRACTISE,ASANUNPERFECTACTORON,PJAPN VHIGW EEMIU XDIOP 
FORMERLY,MINEEYEHATHPLAYDTHEP,RWEQI PPFFH YBPRJ BYVVB 
NOTIFIED,LETTHOSEWHOAREINFAVO,YSMBM WWHJV HIWMM QSOOW 
OVERLAND,LORDOFMYLOVETOWHOMIN,ZJVUZ FZBZJ ZVEOJ KCHME 
ADJOURNS,WEARYWITHTOILIHASTEM,WHJFS NVLHW XWFZU SSWNA 
NOBILITY,HOWCANITHENRETURNINH,UCXKL VBRUS OZPBN PAWOP 
DIATOMIC,WHENINDISGRACEWITHFO,ZPEGW ZLKVO RTQQE KWPFH 
NAGASAKI,WHENTOTHESESSIONSOFS,JHKNL ODPRS KSKIY VFOLS 
SAUCIEST,THYBOSOMISENDEAREDWI,LHSDW WGFAS YPLIS KWDQK 
INDIRECT,IFTHOUSURVIVEMYWELLC,QSWPF YUNZI LDVQA PMYOK 
FISHIEST,FULLMANYAGLORIOUSMOR,KCDSU EFRFO DVZMG NXUGY 
MATRICES,WHYDIDSTTHOUPROMISES,IHRUQ FWLFH HLXTS EUSXJ 
CURDLING,NOMOREBEGRIEVEDATTHA,PIDRC MOKIL ZHGMQ GVNYD 
ENNOBLES,LETMECONFESSTHATWETW,PRGAF NSFJR FGUSE LARGK 
PENNAMES,ASADECREPITFATHERTAK,PWNQE OVWEM GSAFL WGXNX 
TORSIONS,HOWCANMYMUSEWANTSUBJ,ACNUI BZQFI JWEOA LLISB 
EASTERLY,OHOWTHYWORTHWITHMANN,SHGPX YJUSR LAAZE FQAFG 
REDESIGN,TAKEALLMYLOVESMYLOVE,KENIS TRZPP RZWAS LCSYI 
AXEHEADS,THOSEPETTYWRONGSTHAT,TESZI PHLTV AYSNJ KTEEA 
BACCARAT,THATTHOUHASTHERITISN,UHCVT YONIA UVHVR BUIUP 
HELPINGS,WHENMOSTIWINKTHENDOM,DLPCU BYLPA TCSGN WUHZB 
SCOURGES,IFTHEDULLSUBSTANCEOF,AHHBV JYDDU IVJZE FUGCZ 
CONSISTS,THEOTHERTWOSLIGHTAIR,VVRGB ZXJVK BKTAZ ZVOVJ 
EXEMPTED,MINEEYEANDHEARTAREAT,QFRQT RIDRA LQPKX DVBEF 
RACQUETS,BETWIXTMINEEYEANDHEA,SEVMC BMEZN GUSIT FUHGQ 
DOWAGERS,HOWCAREFULWASIWHENIT,KCSCG VVXXZ SAYMN ZHBET 
HORIZONS,AGAINSTTHATTIMEIFEVE,HURQM GGLOO KBHAR AMSMM 
TUNGSTEN,HOWHEAVYDOIJOURNEYON,AIJNW TZLWI VPGNV AXSBT 
SPYGLASS,THUSCANMYLOVEEXCUSET,LWSYN AFEQA MBPEP UMHCZ 
IMPINGED,SOAMIASTHERICHWHOSEB,AAPUV GWWPQ GQPNA KWETJ 
COMMONER,WHATISYOURSUBSTANCEW,YVMFW FCFWF EGPFX RPQQI 
LOPSIDED,OHOWMUCHMOREDOTHBEAU,ZVDOU XGKXC GWLRX KMSPM 
VOLLEYED,NOTMARBLENORTHEGILDE,ICEXE PFOZB ZCXFI JDZOP 
COERCING,SWEETLOVERENEWTHYFOR,UKIVV TBBGF IEGEG NATSI 
NOCTUIDS,BEINGYOURSLAVEWHATSH,OSKGA GRMEG NTPMZ ZNHUA 
COMPARED,THATGODFORBIDTHATMAD,VVMIG FHIQF NXDKL DVAMS 
CROZIERS,IFTHEREBENOTHINGNEWB,KWHGM VVTGE CSPME YPVKA 
RESIDUAL,LIKEASTHEWAVESMAKETO,CMCMD MTSVA SDHMM LBILW 
OBLIQUED,ISITTHYWILLTHYIMAGES,WTTBJ BCZWM WBXSM POHPA 
SPEEDWAY,SINOFSELFLOVEPOSSESS,KXRSI OEJXA SZHLO QKTWW 
SOFTENER,AGAINSTMYLOVESHALLBE,SUFBR FXDQZ TOIFL RDZGX 
ASCENDED,WHENIHAVESEENBYTIMES,WZGRV KEYEK GIAEC WIEGW 
SEMINARY,SINCEBRASSNORSTONENO,KMZKR BIYKW ZWESK MFIZW 
EMBODIED,TIREDWITHALLTHESEFOR,XUSSG EMWLM MZWPI VIRPF 
CALIPERS,AHWHEREFOREWITHINFEC,CHHPT VVXQR PEXXY APFPK 
SAVAGING,THUSISHISCHEEKTHEMAP,LHPSO AUOKC CEKSG NWMVP 
HORRIDLY,THOSEPARTSOFTHEETHAT,AVFJM SLPAG FWBKP CAVRK 
ETHEREAL,THATTHOUARTBLAMEDSHA,XAHXK LOFEK AFCEM PHLOE 
CHEATING,NOLONGERMOURNFORMEWH,PVPOG ORXOV YRGNB XOLAH 
ESPOUSES,OLESTTHEWORLDSHOULDT,SDTGN LLWAG GZXKL GYDSH 
UPLIFTED,THATTIMEOFYEARTHOUMA,NWLBY BQHIU JMFKX KIJXI 
FRIZZLES,BUTBECONTENTEDWHENTH,GLBAD NSFYV VSDOA ZJEBG 
WATCHMEN,SOAREYOUTOMYTHOUGHTS,OOTTL KSHPO FAATS HCHMU 
UNBOILED,WHYISMYVERSESOBARREN,QUZWA XCYYE TSAZF DLEFB 
FIXATIVE,THYGLASSWILLSHOWTHEE,YPVGE INWBQ ILLPJ AYPBE 
BOOKSHOP,SOOFTHAVEIINVOKEDTHE,TCCPL OOKFW WXNVY TEHVO 
DYNAMITE,WHILSTIALONEDIDCALLU,ZFVLE BBEOM AEPQW GDJYU 
MEDIATED,OHOWIFAINTWHENIOFYOU,ALREI YELZX ZPEGM RRCRC 
SLIMMERS,ORISHALLLIVEYOUREPIT,GCQET ECDDT DQKSL JWAQF 
SKERRIES,IGRANTTHOUWERTNOTMAR,AQVRE BXZGE AVIBR GLWEI 
MOMENTUM,INEVERSAWTHATYOUDIDP,UBQZR KMMIH TEGRI GPWPT 
PADDINGS,WHOISITTHATSAYSMOSTW,LHRLA VZLWA WVILY EDSWZ 
ALDERMEN,MYTONGUETIEDMUSEINMA,MJWSE SYRTT HHDGW RIYPE 
WIDENESS,WASITTHEPROUDFULLSAI,SIVMG XZWLZ RYQJM DHADM 
REASSERT,FAREWELLTHOUARTTOODE,WERWO ICEKL OMSVK MFSDW 
UTILISES,WHENTHOUSHALTBEDISPO,QAMYB ZSMMA IWBTI VCLXZ 
BINARIES,SAYTHATTHOUDIDSTFORS,TILTY IXLIW HDZLW LGWES 
HOMELESS,THENHATEMEWHENTHOUWI,AVQRS ELWTS ILPRL ZVIIM 
MOTIVATE,SOMEGLORYINTHEIRBIRT,ECFMB LHVKW GBCEB VNWKB 
WARSHIPS,BUTDOTHYWORSTTOSTEAL,XUKVV BWQSO IKABD KPERD 
ABSEILED,SOSHALLILIVESUPPOSIN,SPKLI WPLLJ NIAFT SOTAR 
SURVEYED,THEYTHATHAVEPOWERTOH,LBVTX FEWZU MZTMA HJNFC 
ETCHINGS,HOWSWEETANDLOVELYDOS,LHYZE RKLEG FSWIK DCWQZ 
CREDENCE,SOMESAYTHYFAULTISYOU,UFQHW NAXJP JDYYV MUPSX 
DRIZZLES,HOWLIKEAWINTERHATHMY,KFEKH VISZZ VSDCL SWYUX 
RECALLED,FROMYOUHAVEIBEENABSE,WVQMJ ZYKRZ GIMPI QRFUE 
FLIPFLOP,THEFORWARDVIOLETTHUS,YSMUT CKPWO DXTWS IYSCH 
LICORICE,WHEREARTTHOUMUSETHAT,HPGFV ITXEP QIDCU IEPCH 
PREJUDGE,OTRUANTMUSEWHATSHALL,DKVDU QZQJJ IFBDZ WWRPU 
THRIVING,MYLOVEISSTRENGTHENDT,FFCWQ MVYLA IMIOG NXUUB 
DUOLOGUE,ALACKWHATPOVERTYMYMU,DFONY CBEWJ CGSXN CPSAF 
PROTISTS,TOMEFAIRFRIENDYOUNEV,IFAXN SBJUI WXVVR GJESO 
LEARNERS,LETNOTMYLOVEBECALLDI,WITEB XDQWS VVOIT SWPDZ 
ADJUSTER,WHENINTHECHRONICLEOF,WKNHA GXYEF QLGGM TLHXZ 
ORATIONS,WHENINTHECHRONICLEOF,KYEGQ BGZST HKWBV UZVOY 
STRIPING,NOTMINEOWNFEARSNORTH,FHKUX VRUOG WMPZF TGKKP 
PRINCESS,WHATSINTHEBRAINTHATI,LYIGU MFLWV JECMF LWRBV 
COERCIVE,ONEVERSAYTHATIWASFAL,QBIMG ZNEAH LRVQR EUTEC 
SNAPPING,ALASTISTRUEIHAVEGONE,SYAHI QFZJH EXWII KYBNT 
VIRGINIA,OFORMYSAKEDOYOUWITHF,JNFXU LAAFM UUGBC WDBYL 
